date,adjustedClose,momentum_12m,peso
2008-09-02,2.0371,,0.0
2008-09-03,2.0497,,0.0
2008-09-04,2.0019,,0.0
2008-09-05,2.0245,,0.0
2008-09-08,2.0394,,0.0
2008-09-09,2.0532,,0.0
2008-09-10,2.121,,0.0
2008-09-11,2.1676,,0.0
2008-09-12,2.1604,,0.0
2008-09-15,2.1443,,0.0
2008-09-16,2.0627,,0.0
2008-09-17,2.0364,,0.0
2008-09-18,2.0744,,0.0
2008-09-19,2.1909,,0.0
2008-09-22,2.1443,,0.0
2008-09-23,2.1094,,0.0
2008-09-24,2.0977,,0.0
2008-09-25,2.1208,,0.0
2008-09-26,2.1208,,0.0
2008-09-29,1.9928,,0.0
2008-09-30,2.138,,0.0
2008-10-01,2.121,,0.0
2008-10-02,2.0511,,0.0
2008-10-03,2.0278,,0.0
2008-10-06,2.0511,,0.0
2008-10-07,2.0604,,0.0
2008-10-08,1.9485,,0.0
2008-10-09,1.8646,,0.0
2008-10-10,1.8646,,0.0
2008-10-13,1.9112,,0.0
2008-10-14,1.9812,,0.0
2008-10-15,1.8413,,0.0
2008-10-16,1.8646,,0.0
2008-10-17,2.0003,,0.0
2008-10-20,2.0744,,0.0
2008-10-21,2.0858,,0.0
2008-10-22,1.8147,,0.0
2008-10-23,1.8178,,0.0
2008-10-24,1.7688,,0.0
2008-10-27,1.6782,,0.0
2008-10-28,1.8541,,0.0
2008-10-29,1.832,,0.0
2008-10-30,1.8157,,0.0
2008-10-31,1.8621,,0.0
2008-11-03,1.8413,,0.0
2008-11-04,1.8336,,0.0
2008-11-05,1.839,,0.0
2008-11-06,1.9112,,0.0
2008-11-07,2.0042,,0.0
2008-11-10,1.9952,,0.0
2008-11-11,1.9656,,0.0
2008-11-12,1.8763,,0.0
2008-11-13,2.0975,,0.0
2008-11-14,2.0161,,0.0
2008-11-17,2.0091,,0.0
2008-11-18,1.9998,,0.0
2008-11-19,1.9087,,0.0
2008-11-21,1.9851,,0.0
2008-11-24,1.9579,,0.0
2008-11-25,1.8809,,0.0
2008-11-26,1.8297,,0.0
2008-11-27,1.8646,,0.0
2008-11-28,1.8819,,0.0
2008-12-01,1.818,,0.0
2008-12-02,1.8413,,0.0
2008-12-03,1.8877,,0.0
2008-12-04,1.8583,,0.0
2008-12-05,1.8271,,0.0
2008-12-08,1.9229,,0.0
2008-12-09,1.9112,,0.0
2008-12-10,1.9695,,0.0
2008-12-11,1.9926,,0.0
2008-12-12,2.0511,,0.0
2008-12-15,1.9993,,0.0
2008-12-16,2.0977,,0.0
2008-12-17,2.0296,,0.0
2008-12-18,2.0623,,0.0
2008-12-19,1.9984,,0.0
2008-12-22,1.9905,,0.0
2008-12-23,1.9346,,0.0
2008-12-26,1.8977,,0.0
2008-12-29,1.9112,,0.0
2008-12-30,1.9763,,0.0
2009-01-02,2.0744,,0.0
2009-01-05,2.0045,,0.0
2009-01-06,1.9805,,0.0
2009-01-07,1.9718,-0.31221877289057864,0.0
2009-01-08,1.9905,-0.3082296517689581,0.0
2009-01-09,1.9905,-0.29931709377640114,0.0
2009-01-12,1.9579,-0.2940943178540525,0.0
2009-01-13,1.9809,-0.29697980622493514,0.0
2009-01-14,1.9609,-0.2929617076512584,0.0
2009-01-15,1.9812,-0.31339455900190605,0.0
2009-01-16,1.9231,-0.3264098073555166,0.0
2009-01-19,1.8879,-0.3261350656767562,0.0
2009-01-20,1.8413,-0.33278979599231806,0.0
2009-01-21,1.8623,-0.317088375504217,0.0
2009-01-22,1.8714,-0.2894676892702559,0.0
2009-01-23,1.8646,-0.3027708185319523,0.0
2009-01-26,1.8411,-0.2828931993456416,0.0
2009-01-27,1.8451,-0.29884096522895687,0.0
2009-01-28,1.8497,-0.25553408999436533,0.0
2009-01-29,1.8413,-0.3070264574159798,0.0
