janela_dias,lado,n_slots,n_seco,pct_seco,financeiro_mediana,fracao_tercil_liquido,rank_liquidez_mediano
21,long_top20,10380,0,0.0,785257.0149999857,0.3244701348747592,68.0
21,short_bottom10,5190,0,0.0,645172.2000000002,0.3113680154142582,71.0
21,TODOS,15570,0,0.0,733933.0450000009,0.32010276172125884,69.0
365,long_top20,10380,0,0.0,9091067.724999987,0.2945086705202312,74.0
365,short_bottom10,5190,0,0.0,11524397.200000001,0.3400770712909441,68.0
365,TODOS,15570,0,0.0,9730635.739999916,0.3096981374438022,72.0
